,sepal_length,sepal_width,petal_length,petal_width,class
0,3.0,8.0,1.0,1.0,Iris-setosa
1,3.0,6.0,1.0,1.0,Iris-setosa
2,2.0,7.0,1.0,1.0,Iris-setosa
3,2.0,6.0,2.0,1.0,Iris-setosa
4,3.0,8.0,1.0,1.0,Iris-setosa
5,4.0,10.0,2.0,2.0,Iris-setosa
6,2.0,7.0,1.0,2.0,Iris-setosa
7,3.0,7.0,2.0,1.0,Iris-setosa
8,1.0,5.0,1.0,1.0,Iris-setosa
9,3.0,6.0,2.0,1.0,Iris-setosa
10,4.0,9.0,2.0,1.0,Iris-setosa
11,2.0,7.0,2.0,1.0,Iris-setosa
12,2.0,6.0,1.0,1.0,Iris-setosa
13,1.0,6.0,1.0,1.0,Iris-setosa
14,6.0,11.0,1.0,1.0,Iris-setosa
15,5.0,12.0,2.0,2.0,Iris-setosa
16,4.0,10.0,1.0,2.0,Iris-setosa
17,3.0,8.0,1.0,2.0,Iris-setosa
18,5.0,9.0,2.0,2.0,Iris-setosa
19,3.0,9.0,2.0,2.0,Iris-setosa
20,4.0,7.0,2.0,1.0,Iris-setosa
21,3.0,9.0,2.0,2.0,Iris-setosa
22,2.0,8.0,1.0,1.0,Iris-setosa
23,3.0,7.0,2.0,3.0,Iris-setosa
24,2.0,7.0,2.0,1.0,Iris-setosa
25,3.0,6.0,2.0,1.0,Iris-setosa
26,3.0,7.0,2.0,2.0,Iris-setosa
27,4.0,8.0,2.0,1.0,Iris-setosa
28,4.0,7.0,1.0,1.0,Iris-setosa
29,2.0,7.0,2.0,1.0,Iris-setosa
30,2.0,6.0,2.0,1.0,Iris-setosa
31,4.0,7.0,2.0,2.0,Iris-setosa
32,4.0,11.0,2.0,1.0,Iris-setosa
33,5.0,11.0,1.0,1.0,Iris-setosa
34,3.0,6.0,2.0,1.0,Iris-setosa
35,3.0,7.0,1.0,1.0,Iris-setosa
36,5.0,8.0,1.0,1.0,Iris-setosa
37,3.0,6.0,2.0,1.0,Iris-setosa
38,1.0,6.0,1.0,1.0,Iris-setosa
39,3.0,7.0,2.0,1.0,Iris-setosa
40,3.0,8.0,1.0,2.0,Iris-setosa
41,1.0,2.0,1.0,2.0,Iris-setosa
42,1.0,7.0,1.0,1.0,Iris-setosa
43,3.0,8.0,2.0,3.0,Iris-setosa
