     TP   FP   FN    TN  Precision    Recall        F1
2  38.0  1.0  1.0  25.0   0.974359  0.974359  0.974359
4  25.0  1.0  1.0  38.0   0.961538  0.961538  0.961538
{'microRecall': 0.9692307692307692, 'microPrecision': 0.9692307692307692, 'microF1Score': 0.9692307692307692}
{'macroRecall': 0.9692307692307692, 'macroPrecision': 0.9692307692307692, 'macroF1': 0.9692307692307692}
5 1294562 10 8 10 1 3 10 5 1 1 4 4
485 1002025 1 1 1 3 1 3 1 1 1 2 2
141 1183911 2 1 1 1 2 1 1 1 1 2 2
251 191250 10 4 4 10 2 10 5 3 3 4 4
291 561477 1 1 1 1 2 1 3 1 1 2 2
283 492268 10 4 6 1 2 10 5 3 1 4 4
261 263538 5 10 10 6 10 10 10 6 5 4 4
360 877291 6 10 10 10 10 10 8 10 10 4 4
689 654546 1 1 1 1 2 1 1 1 8 2 2
650 1319609 3 1 1 2 3 4 1 1 1 2 2
344 822829 7 6 4 8 10 10 9 5 3 4 4
21 1054593 10 5 5 3 6 7 7 10 1 4 4
282 488173 1 4 3 10 4 10 5 6 1 4 4
596 1325309 4 1 2 1 2 1 2 1 1 2 2
370 492561 4 3 2 1 3 1 2 1 1 2 2
46 1105257 3 7 7 4 4 9 4 8 1 4 4
427 1266154 8 7 8 2 4 2 5 10 1 4 4
641 1288608 3 1 1 1 2 1 2 1 1 2 2
491 1119189 5 8 9 4 3 10 7 1 1 4 4
229 1230175 10 10 10 3 10 10 9 10 1 4 4
378 657753 3 1 1 4 3 1 2 2 1 2 2
153 1190394 4 1 1 1 2 3 1 1 1 2 2
357 859350 8 10 10 7 10 10 7 3 8 4 4
310 684955 2 1 1 1 3 1 2 1 1 2 2
287 535331 3 1 1 1 3 1 2 1 1 2 2
342 814265 2 1 1 1 2 1 1 1 1 2 2
103 1168359 8 2 3 1 6 3 7 1 1 4 4
137 1182410 3 1 1 1 2 1 1 1 1 2 2
426 1258556 5 3 6 1 2 1 1 1 1 2 2
565 1331412 5 7 10 10 5 10 10 10 1 4 4
668 1350319 5 7 4 1 6 1 7 10 3 4 4
75 1131294 1 1 2 1 2 2 4 2 1 2 2
190 1210963 10 10 10 8 6 8 7 10 1 4 4
110 1171795 1 3 1 2 2 2 5 3 2 2 2
125 1176406 1 1 1 1 2 1 2 1 1 2 2
492 1133991 4 1 1 1 1 1 2 1 1 2 2
455 1246562 10 2 2 1 2 6 1 1 2 4 2
337 798429 1 1 1 1 2 1 3 1 1 2 2
226 1227481 10 5 7 4 4 10 8 9 1 4 4
134 1180831 3 1 1 1 3 1 2 1 1 2 2
90 1156272 1 1 1 1 2 1 3 1 1 2 2
243 128059 1 1 1 1 2 5 5 1 1 2 2
99 1166630 7 5 6 10 5 10 7 9 4 4 4
117 1173509 4 5 5 10 4 10 7 5 8 4 4
205 1218105 5 10 10 9 6 10 7 10 5 4 4
363 888523 4 4 4 2 2 3 2 1 1 2 2
161 1197080 4 1 1 1 2 1 3 2 1 2 2
597 1333063 5 1 3 1 2 1 3 1 1 2 2
475 1287282 3 1 1 1 2 1 1 1 1 2 2
590 1294261 4 10 8 5 4 1 10 1 1 4 4
232 1231706 8 4 6 3 3 1 4 3 1 2 4
476 1296025 4 1 2 1 2 1 1 1 1 2 2
101 1167439 2 3 4 4 2 5 2 5 1 4 4
388 1114570 2 1 1 1 2 1 2 2 1 2 2
