,sepal_length,sepal_width,petal_length,petal_width,class
0,2.0,6.0,1.0,1.0,Iris-setosa
1,2.0,4.0,1.0,1.0,Iris-setosa
2,1.0,5.0,1.0,1.0,Iris-setosa
3,1.0,4.0,1.0,1.0,Iris-setosa
4,2.0,6.0,1.0,1.0,Iris-setosa
5,3.0,7.0,1.0,2.0,Iris-setosa
6,1.0,5.0,1.0,1.0,Iris-setosa
7,2.0,5.0,1.0,1.0,Iris-setosa
8,1.0,3.0,1.0,1.0,Iris-setosa
9,2.0,4.0,1.0,1.0,Iris-setosa
10,3.0,6.0,1.0,1.0,Iris-setosa
11,2.0,5.0,1.0,1.0,Iris-setosa
12,2.0,4.0,1.0,1.0,Iris-setosa
13,1.0,4.0,1.0,1.0,Iris-setosa
14,4.0,7.0,1.0,1.0,Iris-setosa
15,4.0,8.0,1.0,2.0,Iris-setosa
16,3.0,7.0,1.0,2.0,Iris-setosa
17,2.0,6.0,1.0,1.0,Iris-setosa
18,4.0,6.0,1.0,1.0,Iris-setosa
19,2.0,6.0,1.0,1.0,Iris-setosa
20,3.0,5.0,1.0,1.0,Iris-setosa
21,2.0,6.0,1.0,2.0,Iris-setosa
22,1.0,6.0,1.0,1.0,Iris-setosa
23,2.0,5.0,1.0,2.0,Iris-setosa
24,2.0,5.0,2.0,1.0,Iris-setosa
25,2.0,4.0,1.0,1.0,Iris-setosa
26,2.0,5.0,1.0,2.0,Iris-setosa
27,3.0,6.0,1.0,1.0,Iris-setosa
28,3.0,5.0,1.0,1.0,Iris-setosa
29,1.0,5.0,1.0,1.0,Iris-setosa
30,2.0,4.0,1.0,1.0,Iris-setosa
31,3.0,5.0,1.0,2.0,Iris-setosa
32,3.0,7.0,1.0,1.0,Iris-setosa
33,3.0,8.0,1.0,1.0,Iris-setosa
34,2.0,4.0,1.0,1.0,Iris-setosa
35,2.0,5.0,1.0,1.0,Iris-setosa
36,3.0,6.0,1.0,1.0,Iris-setosa
37,2.0,4.0,1.0,1.0,Iris-setosa
38,1.0,4.0,1.0,1.0,Iris-setosa
39,2.0,5.0,1.0,1.0,Iris-setosa
40,2.0,6.0,1.0,1.0,Iris-setosa
41,1.0,2.0,1.0,1.0,Iris-setosa
42,1.0,5.0,1.0,1.0,Iris-setosa
43,2.0,6.0,1.0,2.0,Iris-setosa
44,2.0,6.0,2.0,2.0,Iris-setosa
45,2.0,4.0,1.0,1.0,Iris-setosa
46,2.0,6.0,1.0,1.0,Iris-setosa
47,1.0,5.0,1.0,1.0,Iris-setosa
48,3.0,6.0,1.0,1.0,Iris-setosa
49,2.0,5.0,1.0,1.0,Iris-setosa
50,7.0,5.0,6.0,5.0,Iris-versicolor
51,5.0,5.0,5.0,5.0,Iris-versicolor
52,6.0,4.0,6.0,5.0,Iris-versicolor
53,3.0,2.0,5.0,5.0,Iris-versicolor
54,5.0,3.0,5.0,5.0,Iris-versicolor
55,4.0,3.0,5.0,5.0,Iris-versicolor
56,5.0,5.0,6.0,6.0,Iris-versicolor
57,2.0,2.0,4.0,4.0,Iris-versicolor
58,6.0,3.0,5.0,5.0,Iris-versicolor
59,3.0,3.0,4.0,5.0,Iris-versicolor
60,2.0,1.0,4.0,4.0,Iris-versicolor
61,4.0,4.0,5.0,5.0,Iris-versicolor
62,4.0,1.0,5.0,4.0,Iris-versicolor
63,5.0,3.0,6.0,5.0,Iris-versicolor
64,3.0,3.0,4.0,5.0,Iris-versicolor
65,6.0,4.0,5.0,5.0,Iris-versicolor
66,3.0,4.0,5.0,5.0,Iris-versicolor
67,4.0,3.0,5.0,4.0,Iris-versicolor
68,5.0,1.0,5.0,5.0,Iris-versicolor
69,3.0,2.0,4.0,4.0,Iris-versicolor
70,4.0,5.0,6.0,6.0,Iris-versicolor
71,5.0,3.0,5.0,5.0,Iris-versicolor
72,5.0,2.0,6.0,5.0,Iris-versicolor
73,5.0,3.0,6.0,4.0,Iris-versicolor
74,5.0,3.0,5.0,5.0,Iris-versicolor
75,6.0,4.0,5.0,5.0,Iris-versicolor
76,6.0,3.0,6.0,5.0,Iris-versicolor
77,6.0,4.0,6.0,6.0,Iris-versicolor
78,4.0,3.0,5.0,5.0,Iris-versicolor
79,4.0,3.0,4.0,4.0,Iris-versicolor
80,3.0,2.0,4.0,4.0,Iris-versicolor
81,3.0,2.0,4.0,4.0,Iris-versicolor
82,4.0,3.0,4.0,4.0,Iris-versicolor
83,4.0,3.0,6.0,6.0,Iris-versicolor
84,3.0,4.0,5.0,5.0,Iris-versicolor
85,4.0,5.0,5.0,6.0,Iris-versicolor
86,6.0,4.0,6.0,5.0,Iris-versicolor
87,5.0,2.0,5.0,5.0,Iris-versicolor
88,3.0,4.0,5.0,5.0,Iris-versicolor
89,3.0,2.0,5.0,5.0,Iris-versicolor
90,3.0,3.0,5.0,4.0,Iris-versicolor
91,5.0,4.0,5.0,5.0,Iris-versicolor
92,4.0,3.0,5.0,4.0,Iris-versicolor
93,2.0,2.0,4.0,4.0,Iris-versicolor
94,3.0,3.0,5.0,5.0,Iris-versicolor
95,4.0,4.0,5.0,4.0,Iris-versicolor
96,4.0,3.0,5.0,5.0,Iris-versicolor
97,5.0,3.0,5.0,5.0,Iris-versicolor
98,2.0,2.0,3.0,4.0,Iris-versicolor
99,4.0,3.0,5.0,5.0,Iris-versicolor
100,5.0,5.0,7.0,8.0,Iris-virginica
101,4.0,3.0,6.0,7.0,Iris-virginica
102,7.0,4.0,7.0,7.0,Iris-virginica
103,5.0,3.0,7.0,6.0,Iris-virginica
104,5.0,4.0,7.0,8.0,Iris-virginica
105,8.0,4.0,8.0,7.0,Iris-virginica
106,2.0,2.0,5.0,6.0,Iris-virginica
107,7.0,3.0,8.0,6.0,Iris-virginica
108,6.0,2.0,7.0,6.0,Iris-virginica
109,7.0,6.0,7.0,8.0,Iris-virginica
110,5.0,5.0,6.0,7.0,Iris-virginica
111,5.0,3.0,6.0,7.0,Iris-virginica
112,6.0,4.0,7.0,7.0,Iris-virginica
113,4.0,2.0,6.0,7.0,Iris-virginica
114,4.0,3.0,6.0,8.0,Iris-virginica
115,5.0,5.0,6.0,8.0,Iris-virginica
116,5.0,4.0,7.0,6.0,Iris-virginica
