,sepal_length,sepal_width,petal_length,petal_width,class
0,3.0,7.0,1.0,1.0,Iris-setosa
1,2.0,5.0,1.0,1.0,Iris-setosa
2,2.0,6.0,1.0,1.0,Iris-setosa
3,1.0,5.0,1.0,1.0,Iris-setosa
4,2.0,7.0,1.0,1.0,Iris-setosa
5,4.0,8.0,2.0,2.0,Iris-setosa
6,1.0,6.0,1.0,1.0,Iris-setosa
7,2.0,6.0,1.0,1.0,Iris-setosa
8,1.0,4.0,1.0,1.0,Iris-setosa
9,2.0,5.0,1.0,1.0,Iris-setosa
10,4.0,8.0,1.0,1.0,Iris-setosa
11,2.0,6.0,2.0,1.0,Iris-setosa
12,2.0,5.0,1.0,1.0,Iris-setosa
13,1.0,5.0,1.0,1.0,Iris-setosa
14,5.0,9.0,1.0,1.0,Iris-setosa
15,4.0,10.0,1.0,2.0,Iris-setosa
16,4.0,8.0,1.0,2.0,Iris-setosa
17,3.0,7.0,1.0,1.0,Iris-setosa
18,4.0,8.0,2.0,1.0,Iris-setosa
19,3.0,8.0,1.0,1.0,Iris-setosa
20,4.0,6.0,2.0,1.0,Iris-setosa
21,3.0,8.0,1.0,2.0,Iris-setosa
22,1.0,7.0,1.0,1.0,Iris-setosa
23,3.0,6.0,2.0,2.0,Iris-setosa
24,2.0,6.0,2.0,1.0,Iris-setosa
25,2.0,5.0,2.0,1.0,Iris-setosa
26,2.0,6.0,2.0,2.0,Iris-setosa
27,3.0,7.0,1.0,1.0,Iris-setosa
28,3.0,6.0,1.0,1.0,Iris-setosa
29,2.0,6.0,2.0,1.0,Iris-setosa
30,2.0,5.0,2.0,1.0,Iris-setosa
31,4.0,6.0,1.0,2.0,Iris-setosa
32,3.0,9.0,1.0,1.0,Iris-setosa
33,4.0,10.0,1.0,1.0,Iris-setosa
34,2.0,5.0,1.0,1.0,Iris-setosa
35,2.0,6.0,1.0,1.0,Iris-setosa
36,4.0,7.0,1.0,1.0,Iris-setosa
37,2.0,5.0,1.0,1.0,Iris-setosa
38,1.0,5.0,1.0,1.0,Iris-setosa
39,3.0,6.0,1.0,1.0,Iris-setosa
40,2.0,7.0,1.0,1.0,Iris-setosa
41,1.0,2.0,1.0,1.0,Iris-setosa
42,1.0,6.0,1.0,1.0,Iris-setosa
43,2.0,7.0,2.0,3.0,Iris-setosa
44,3.0,8.0,2.0,2.0,Iris-setosa
