61 3.0 3.0 3.0 3.0 Iris-versicolor Iris-versicolor
47 1.0 3.0 1.0 1.0 Iris-setosa Iris-setosa
110 4.0 3.0 4.0 4.0 Iris-virginica Iris-virginica
144 4.0 3.0 4.0 5.0 Iris-virginica Iris-virginica
75 4.0 3.0 3.0 3.0 Iris-versicolor Iris-versicolor
73 3.0 2.0 4.0 3.0 Iris-versicolor Iris-versicolor
89 2.0 2.0 3.0 3.0 Iris-versicolor Iris-versicolor
146 3.0 2.0 4.0 4.0 Iris-virginica Iris-virginica
69 2.0 2.0 3.0 3.0 Iris-versicolor Iris-versicolor
20 2.0 3.0 1.0 1.0 Iris-setosa Iris-setosa
67 3.0 2.0 3.0 2.0 Iris-versicolor Iris-versicolor
138 3.0 3.0 4.0 4.0 Iris-virginica Iris-virginica
53 2.0 1.0 3.0 3.0 Iris-versicolor Iris-versicolor
4 1.0 4.0 1.0 1.0 Iris-setosa Iris-setosa
22 1.0 4.0 1.0 1.0 Iris-setosa Iris-setosa
