,sepal_length,sepal_width,petal_length,petal_width,class
0,8.0,21.0,3.0,2.0,Iris-setosa
1,6.0,14.0,3.0,2.0,Iris-setosa
2,4.0,17.0,2.0,2.0,Iris-setosa
3,3.0,15.0,3.0,2.0,Iris-setosa
4,7.0,22.0,3.0,2.0,Iris-setosa
5,10.0,26.0,4.0,5.0,Iris-setosa
6,3.0,19.0,3.0,3.0,Iris-setosa
7,7.0,19.0,3.0,2.0,Iris-setosa
8,1.0,12.0,3.0,2.0,Iris-setosa
9,6.0,15.0,3.0,1.0,Iris-setosa
10,10.0,23.0,3.0,2.0,Iris-setosa
11,5.0,19.0,4.0,2.0,Iris-setosa
12,5.0,14.0,3.0,1.0,Iris-setosa
13,1.0,14.0,1.0,1.0,Iris-setosa
14,14.0,27.0,2.0,2.0,Iris-setosa
15,13.0,32.0,3.0,5.0,Iris-setosa
16,10.0,26.0,2.0,5.0,Iris-setosa
17,8.0,21.0,3.0,3.0,Iris-setosa
18,13.0,24.0,4.0,3.0,Iris-setosa
19,8.0,24.0,3.0,3.0,Iris-setosa
20,10.0,19.0,4.0,2.0,Iris-setosa
21,8.0,23.0,3.0,5.0,Iris-setosa
22,3.0,22.0,1.0,2.0,Iris-setosa
23,8.0,18.0,4.0,6.0,Iris-setosa
24,5.0,19.0,5.0,2.0,Iris-setosa
25,7.0,14.0,4.0,2.0,Iris-setosa
26,7.0,19.0,4.0,5.0,Iris-setosa
27,9.0,21.0,3.0,2.0,Iris-setosa
28,9.0,19.0,3.0,2.0,Iris-setosa
29,4.0,17.0,4.0,2.0,Iris-setosa
30,5.0,15.0,4.0,2.0,Iris-setosa
31,10.0,19.0,3.0,5.0,Iris-setosa
32,9.0,28.0,3.0,1.0,Iris-setosa
33,11.0,30.0,3.0,2.0,Iris-setosa
34,6.0,15.0,3.0,1.0,Iris-setosa
35,7.0,17.0,2.0,2.0,Iris-setosa
36,11.0,21.0,2.0,2.0,Iris-setosa
37,6.0,15.0,3.0,1.0,Iris-setosa
38,1.0,14.0,2.0,2.0,Iris-setosa
39,8.0,19.0,3.0,2.0,Iris-setosa
40,7.0,21.0,2.0,3.0,Iris-setosa
41,2.0,5.0,2.0,3.0,Iris-setosa
42,1.0,17.0,2.0,2.0,Iris-setosa
43,7.0,21.0,4.0,7.0,Iris-setosa
44,8.0,24.0,5.0,5.0,Iris-setosa
45,5.0,14.0,3.0,3.0,Iris-setosa
46,8.0,24.0,4.0,2.0,Iris-setosa
47,3.0,17.0,3.0,2.0,Iris-setosa
48,9.0,23.0,3.0,2.0,Iris-setosa
49,7.0,18.0,3.0,2.0,Iris-setosa
50,25.0,17.0,21.0,18.0,Iris-versicolor
51,19.0,17.0,19.0,19.0,Iris-versicolor
52,24.0,15.0,22.0,19.0,Iris-versicolor
53,11.0,5.0,17.0,17.0,Iris-versicolor
54,20.0,11.0,20.0,19.0,Iris-versicolor
55,13.0,11.0,19.0,17.0,Iris-versicolor
56,18.0,18.0,21.0,21.0,Iris-versicolor
57,6.0,6.0,13.0,13.0,Iris-versicolor
58,21.0,12.0,20.0,17.0,Iris-versicolor
59,9.0,10.0,16.0,18.0,Iris-versicolor
60,7.0,1.0,14.0,13.0,Iris-versicolor
61,15.0,14.0,18.0,19.0,Iris-versicolor
62,16.0,3.0,17.0,13.0,Iris-versicolor
63,17.0,12.0,21.0,18.0,Iris-versicolor
64,12.0,12.0,15.0,17.0,Iris-versicolor
65,22.0,15.0,19.0,18.0,Iris-versicolor
66,12.0,14.0,19.0,19.0,Iris-versicolor
67,14.0,10.0,17.0,13.0,Iris-versicolor
68,17.0,3.0,19.0,19.0,Iris-versicolor
69,12.0,7.0,16.0,14.0,Iris-versicolor
